filepath,label
red admiral\029.jpg,red admiral
purple hairstreak\069.jpg,purple hairstreak
pine white\064.jpg,pine white
clouded sulphur\033.jpg,clouded sulphur
pine white\061.jpg,pine white
gold banded\067.jpg,gold banded
southern dogface\069.jpg,southern dogface
monarch\003.jpg,monarch
clodius parnassian\040.jpg,clodius parnassian
malachite\043.jpg,malachite
crimson patch\074.jpg,crimson patch
metalmark\023.jpg,metalmark
an 88\042.jpg,an 88
crimson patch\046.jpg,crimson patch
monarch\031.jpg,monarch
red admiral\073.jpg,red admiral
crecent\013.jpg,crecent
peacock\018.jpg,peacock
orange oakleaf\028.jpg,orange oakleaf
great eggfly\000.jpg,great eggfly
scarce swallow\044.jpg,scarce swallow
yellow swallow tail\037.jpg,yellow swallow tail
red spotted purple\076.jpg,red spotted purple
straited queen\054.jpg,straited queen
clouded sulphur\014.jpg,clouded sulphur
great eggfly\066.jpg,great eggfly
pipevine swallow\054.jpg,pipevine swallow
zebra long wing\073.jpg,zebra long wing
zebra long wing\093.jpg,zebra long wing
grey hairstreak\061.jpg,grey hairstreak
malachite\074.jpg,malachite
cabbage white\024.jpg,cabbage white
beckers white\050.jpg,beckers white
silver spot skipper\066.jpg,silver spot skipper
copper tail\093.jpg,copper tail
orchard swallow\023.jpg,orchard swallow
peacock\060.jpg,peacock
wood satyr\053.jpg,wood satyr
southern dogface\017.jpg,southern dogface
skipper\045.jpg,skipper
an 88\004.jpg,an 88
crimson patch\085.jpg,crimson patch
scarce swallow\068.jpg,scarce swallow
clouded sulphur\044.jpg,clouded sulphur
two barred flasher\034.jpg,two barred flasher
southern dogface\081.jpg,southern dogface
purple hairstreak\064.jpg,purple hairstreak
copper tail\009.jpg,copper tail
copper tail\069.jpg,copper tail
sootywing\110.jpg,sootywing
crecent\039.jpg,crecent
wood satyr\007.jpg,wood satyr
red admiral\077.jpg,red admiral
copper tail\079.jpg,copper tail
copper tail\117.jpg,copper tail
sootywing\054.jpg,sootywing
large marble\023.jpg,large marble
wood satyr\034.jpg,wood satyr
red spotted purple\046.jpg,red spotted purple
monarch\061.jpg,monarch
crecent\001.jpg,crecent
morning cloak\007.jpg,morning cloak
purple hairstreak\024.jpg,purple hairstreak
crimson patch\004.jpg,crimson patch
cabbage white\001.jpg,cabbage white
american snoot\061.jpg,american snoot
viceroy\057.jpg,viceroy
ulyses\050.jpg,ulyses
yellow swallow tail\065.jpg,yellow swallow tail
purple hairstreak\087.jpg,purple hairstreak
paper kite\053.jpg,paper kite
viceroy\068.jpg,viceroy
gold banded\019.jpg,gold banded
orange oakleaf\083.jpg,orange oakleaf
clouded sulphur\058.jpg,clouded sulphur
skipper\036.jpg,skipper
silver spot skipper\004.jpg,silver spot skipper
sootywing\058.jpg,sootywing
crecent\026.jpg,crecent
peacock\083.jpg,peacock
zebra long wing\018.jpg,zebra long wing
pine white\039.jpg,pine white
scarce swallow\122.jpg,scarce swallow
viceroy\044.jpg,viceroy
wood satyr\063.jpg,wood satyr
monarch\057.jpg,monarch
great eggfly\076.jpg,great eggfly
southern dogface\005.jpg,southern dogface
pipevine swallow\083.jpg,pipevine swallow
yellow swallow tail\063.jpg,yellow swallow tail
two barred flasher\071.jpg,two barred flasher
american snoot\019.jpg,american snoot
adonis\031.jpg,adonis
eastern coma\083.jpg,eastern coma
question mark\030.jpg,question mark
sootywing\073.jpg,sootywing
sootywing\040.jpg,sootywing
crimson patch\036.jpg,crimson patch
yellow swallow tail\034.jpg,yellow swallow tail
clouded sulphur\077.jpg,clouded sulphur
large marble\068.jpg,large marble
two barred flasher\072.jpg,two barred flasher
sootywing\020.jpg,sootywing
straited queen\017.jpg,straited queen
adonis\072.jpg,adonis
clouded sulphur\038.jpg,clouded sulphur
beckers white\000.jpg,beckers white
scarce swallow\099.jpg,scarce swallow
adonis\086.jpg,adonis
orchard swallow\057.jpg,orchard swallow
red admiral\000.jpg,red admiral
banded peacock\030.jpg,banded peacock
clodius parnassian\012.jpg,clodius parnassian
grey hairstreak\052.jpg,grey hairstreak
pine white\083.jpg,pine white
black hairstreak\071.jpg,black hairstreak
an 88\064.jpg,an 88
malachite\046.jpg,malachite
orange oakleaf\030.jpg,orange oakleaf
peacock\013.jpg,peacock
orchard swallow\067.jpg,orchard swallow
viceroy\009.jpg,viceroy
southern dogface\024.jpg,southern dogface
peacock\036.jpg,peacock
pine white\011.jpg,pine white
scarce swallow\049.jpg,scarce swallow
american snoot\022.jpg,american snoot
sixspot burnet\025.jpg,sixspot burnet
mangrove skipper\028.jpg,mangrove skipper
pine white\074.jpg,pine white
red admiral\026.jpg,red admiral
sixspot burnet\052.jpg,sixspot burnet
copper tail\072.jpg,copper tail
american snoot\067.jpg,american snoot
gold banded\014.jpg,gold banded
gold banded\044.jpg,gold banded
great eggfly\002.jpg,great eggfly
crimson patch\075.jpg,crimson patch
grey hairstreak\047.jpg,grey hairstreak
mangrove skipper\077.jpg,mangrove skipper
red spotted purple\070.jpg,red spotted purple
great eggfly\080.jpg,great eggfly
gold banded\024.jpg,gold banded
scarce swallow\120.jpg,scarce swallow
julia\011.jpg,julia
beckers white\088.jpg,beckers white
zebra long wing\057.jpg,zebra long wing
peacock\005.jpg,peacock
chestnut\039.jpg,chestnut
morning cloak\067.jpg,morning cloak
pine white\012.jpg,pine white
southern dogface\076.jpg,southern dogface
painted lady\047.jpg,painted lady
great eggfly\020.jpg,great eggfly
an 88\044.jpg,an 88
ulyses\007.jpg,ulyses
copper tail\077.jpg,copper tail
orange oakleaf\040.jpg,orange oakleaf
wood satyr\026.jpg,wood satyr
malachite\036.jpg,malachite
an 88\027.jpg,an 88
black hairstreak\042.jpg,black hairstreak
an 88\016.jpg,an 88
orchard swallow\031.jpg,orchard swallow
southern dogface\051.jpg,southern dogface
purple hairstreak\022.jpg,purple hairstreak
morning cloak\017.jpg,morning cloak
peacock\019.jpg,peacock
eastern coma\040.jpg,eastern coma
wood satyr\081.jpg,wood satyr
skipper\106.jpg,skipper
an 88\046.jpg,an 88
orchard swallow\013.jpg,orchard swallow
painted lady\010.jpg,painted lady
orange oakleaf\007.jpg,orange oakleaf
painted lady\057.jpg,painted lady
viceroy\034.jpg,viceroy
paper kite\042.jpg,paper kite
julia\001.jpg,julia
ulyses\008.jpg,ulyses
red admiral\044.jpg,red admiral
southern dogface\031.jpg,southern dogface
straited queen\060.jpg,straited queen
large marble\058.jpg,large marble
grey hairstreak\054.jpg,grey hairstreak
an 88\068.jpg,an 88
zebra long wing\028.jpg,zebra long wing
grey hairstreak\059.jpg,grey hairstreak
metalmark\086.jpg,metalmark
gold banded\000.jpg,gold banded
malachite\073.jpg,malachite
question mark\074.jpg,question mark
silver spot skipper\060.jpg,silver spot skipper
copper tail\032.jpg,copper tail
clodius parnassian\006.jpg,clodius parnassian
silver spot skipper\039.jpg,silver spot skipper
malachite\092.jpg,malachite
orange oakleaf\004.jpg,orange oakleaf
skipper\028.jpg,skipper
pine white\028.jpg,pine white
clodius parnassian\061.jpg,clodius parnassian
crimson patch\033.jpg,crimson patch
red admiral\035.jpg,red admiral
metalmark\043.jpg,metalmark
paper kite\076.jpg,paper kite
malachite\039.jpg,malachite
orange tip\037.jpg,orange tip
paper kite\061.jpg,paper kite
gold banded\032.jpg,gold banded
skipper\010.jpg,skipper
silver spot skipper\080.jpg,silver spot skipper
red spotted purple\025.jpg,red spotted purple
morning cloak\000.jpg,morning cloak
gold banded\039.jpg,gold banded
skipper\095.jpg,skipper
peacock\008.jpg,peacock
chestnut\040.jpg,chestnut
great eggfly\082.jpg,great eggfly
chestnut\024.jpg,chestnut
purple hairstreak\008.jpg,purple hairstreak
copper tail\065.jpg,copper tail
eastern coma\060.jpg,eastern coma
banded peacock\075.jpg,banded peacock
gold banded\001.jpg,gold banded
eastern coma\033.jpg,eastern coma
painted lady\031.jpg,painted lady
painted lady\012.jpg,painted lady
metalmark\007.jpg,metalmark
beckers white\027.jpg,beckers white
large marble\025.jpg,large marble
sootywing\076.jpg,sootywing
morning cloak\038.jpg,morning cloak
two barred flasher\057.jpg,two barred flasher
wood satyr\058.jpg,wood satyr
malachite\091.jpg,malachite
julia\100.jpg,julia
straited queen\057.jpg,straited queen
mangrove skipper\023.jpg,mangrove skipper
orange oakleaf\061.jpg,orange oakleaf
scarce swallow\037.jpg,scarce swallow
silver spot skipper\047.jpg,silver spot skipper
adonis\062.jpg,adonis
orchard swallow\047.jpg,orchard swallow
mangrove skipper\059.jpg,mangrove skipper
an 88\076.jpg,an 88
yellow swallow tail\028.jpg,yellow swallow tail
red admiral\007.jpg,red admiral
ulyses\053.jpg,ulyses
malachite\049.jpg,malachite
purple hairstreak\011.jpg,purple hairstreak
beckers white\085.jpg,beckers white
julia\024.jpg,julia
red spotted purple\021.jpg,red spotted purple
indra swallow\063.jpg,indra swallow
an 88\041.jpg,an 88
julia\056.jpg,julia
sixspot burnet\089.jpg,sixspot burnet
skipper\070.jpg,skipper
copper tail\007.jpg,copper tail
question mark\019.jpg,question mark
red spotted purple\050.jpg,red spotted purple
indra swallow\041.jpg,indra swallow
zebra long wing\080.jpg,zebra long wing
julia\043.jpg,julia
julia\009.jpg,julia
ulyses\009.jpg,ulyses
silver spot skipper\037.jpg,silver spot skipper
wood satyr\083.jpg,wood satyr
metalmark\029.jpg,metalmark
purple hairstreak\062.jpg,purple hairstreak
malachite\065.jpg,malachite
painted lady\005.jpg,painted lady
sixspot burnet\021.jpg,sixspot burnet
red spotted purple\037.jpg,red spotted purple
scarce swallow\096.jpg,scarce swallow
wood satyr\015.jpg,wood satyr
copper tail\003.jpg,copper tail
silver spot skipper\069.jpg,silver spot skipper
two barred flasher\044.jpg,two barred flasher
skipper\005.jpg,skipper
orange oakleaf\042.jpg,orange oakleaf
metalmark\050.jpg,metalmark
cabbage white\038.jpg,cabbage white
painted lady\004.jpg,painted lady
crimson patch\025.jpg,crimson patch
clodius parnassian\045.jpg,clodius parnassian
cabbage white\027.jpg,cabbage white
peacock\084.jpg,peacock
beckers white\073.jpg,beckers white
two barred flasher\019.jpg,two barred flasher
orchard swallow\004.jpg,orchard swallow
ulyses\000.jpg,ulyses
yellow swallow tail\079.jpg,yellow swallow tail
southern dogface\002.jpg,southern dogface
red spotted purple\026.jpg,red spotted purple
indra swallow\073.jpg,indra swallow
skipper\097.jpg,skipper
american snoot\021.jpg,american snoot
mangrove skipper\018.jpg,mangrove skipper
malachite\002.jpg,malachite
large marble\001.jpg,large marble
orchard swallow\072.jpg,orchard swallow
two barred flasher\039.jpg,two barred flasher
red spotted purple\082.jpg,red spotted purple
great eggfly\094.jpg,great eggfly
purple hairstreak\054.jpg,purple hairstreak
sixspot burnet\070.jpg,sixspot burnet
pipevine swallow\019.jpg,pipevine swallow
morning cloak\031.jpg,morning cloak
southern dogface\071.jpg,southern dogface
paper kite\005.jpg,paper kite
paper kite\048.jpg,paper kite
scarce swallow\089.jpg,scarce swallow
purple hairstreak\020.jpg,purple hairstreak
indra swallow\081.jpg,indra swallow
peacock\077.jpg,peacock
crimson patch\024.jpg,crimson patch
zebra long wing\097.jpg,zebra long wing
grey hairstreak\013.jpg,grey hairstreak
ulyses\031.jpg,ulyses
ulyses\063.jpg,ulyses
yellow swallow tail\087.jpg,yellow swallow tail
skipper\077.jpg,skipper
scarce swallow\108.jpg,scarce swallow
cabbage white\055.jpg,cabbage white
question mark\055.jpg,question mark
painted lady\025.jpg,painted lady
red spotted purple\016.jpg,red spotted purple
chestnut\034.jpg,chestnut
clouded sulphur\027.jpg,clouded sulphur
chestnut\050.jpg,chestnut
scarce swallow\101.jpg,scarce swallow
crecent\055.jpg,crecent
large marble\067.jpg,large marble
large marble\013.jpg,large marble
an 88\021.jpg,an 88
question mark\087.jpg,question mark
morning cloak\042.jpg,morning cloak
purple hairstreak\066.jpg,purple hairstreak
purple hairstreak\002.jpg,purple hairstreak
red admiral\060.jpg,red admiral
sixspot burnet\034.jpg,sixspot burnet
ulyses\061.jpg,ulyses
copper tail\046.jpg,copper tail
julia\033.jpg,julia
pine white\038.jpg,pine white
purple hairstreak\009.jpg,purple hairstreak
question mark\084.jpg,question mark
banded peacock\018.jpg,banded peacock
painted lady\032.jpg,painted lady
clodius parnassian\042.jpg,clodius parnassian
pipevine swallow\005.jpg,pipevine swallow
viceroy\041.jpg,viceroy
gold banded\034.jpg,gold banded
malachite\051.jpg,malachite
gold banded\008.jpg,gold banded
question mark\028.jpg,question mark
crecent\045.jpg,crecent
pipevine swallow\057.jpg,pipevine swallow
grey hairstreak\068.jpg,grey hairstreak
gold banded\042.jpg,gold banded
malachite\034.jpg,malachite
painted lady\074.jpg,painted lady
morning cloak\029.jpg,morning cloak
red spotted purple\040.jpg,red spotted purple
morning cloak\015.jpg,morning cloak
purple hairstreak\068.jpg,purple hairstreak
crimson patch\027.jpg,crimson patch
pipevine swallow\050.jpg,pipevine swallow
skipper\105.jpg,skipper
straited queen\013.jpg,straited queen
viceroy\052.jpg,viceroy
skipper\062.jpg,skipper
black hairstreak\046.jpg,black hairstreak
orchard swallow\045.jpg,orchard swallow
malachite\056.jpg,malachite
american snoot\051.jpg,american snoot
painted lady\092.jpg,painted lady
mangrove skipper\034.jpg,mangrove skipper
indra swallow\039.jpg,indra swallow
purple hairstreak\000.jpg,purple hairstreak
wood satyr\084.jpg,wood satyr
gold banded\080.jpg,gold banded
silver spot skipper\017.jpg,silver spot skipper
sootywing\106.jpg,sootywing
great eggfly\039.jpg,great eggfly
black hairstreak\021.jpg,black hairstreak
crecent\027.jpg,crecent
southern dogface\062.jpg,southern dogface
beckers white\011.jpg,beckers white
sootywing\003.jpg,sootywing
orange tip\044.jpg,orange tip
great eggfly\003.jpg,great eggfly
copper tail\038.jpg,copper tail
orange oakleaf\059.jpg,orange oakleaf
southern dogface\067.jpg,southern dogface
cabbage white\067.jpg,cabbage white
metalmark\024.jpg,metalmark
straited queen\070.jpg,straited queen
morning cloak\028.jpg,morning cloak
sixspot burnet\069.jpg,sixspot burnet
crimson patch\082.jpg,crimson patch
crecent\018.jpg,crecent
crimson patch\031.jpg,crimson patch
beckers white\072.jpg,beckers white
ulyses\051.jpg,ulyses
julia\028.jpg,julia
metalmark\038.jpg,metalmark
beckers white\097.jpg,beckers white
painted lady\002.jpg,painted lady
peacock\067.jpg,peacock
malachite\084.jpg,malachite
viceroy\024.jpg,viceroy
straited queen\083.jpg,straited queen
eastern coma\044.jpg,eastern coma
sixspot burnet\087.jpg,sixspot burnet
straited queen\042.jpg,straited queen
crecent\049.jpg,crecent
paper kite\066.jpg,paper kite
zebra long wing\046.jpg,zebra long wing
question mark\029.jpg,question mark
orange tip\059.jpg,orange tip
straited queen\001.jpg,straited queen
large marble\062.jpg,large marble
adonis\077.jpg,adonis
an 88\019.jpg,an 88
skipper\061.jpg,skipper
american snoot\014.jpg,american snoot
beckers white\046.jpg,beckers white
crecent\022.jpg,crecent
cabbage white\048.jpg,cabbage white
grey hairstreak\082.jpg,grey hairstreak
yellow swallow tail\023.jpg,yellow swallow tail
yellow swallow tail\003.jpg,yellow swallow tail
zebra long wing\016.jpg,zebra long wing
crimson patch\042.jpg,crimson patch
silver spot skipper\059.jpg,silver spot skipper
malachite\045.jpg,malachite
orchard swallow\024.jpg,orchard swallow
sootywing\105.jpg,sootywing
red spotted purple\048.jpg,red spotted purple
wood satyr\023.jpg,wood satyr
adonis\009.jpg,adonis
scarce swallow\019.jpg,scarce swallow
american snoot\045.jpg,american snoot
monarch\056.jpg,monarch
viceroy\020.jpg,viceroy
purple hairstreak\059.jpg,purple hairstreak
large marble\018.jpg,large marble
orchard swallow\006.jpg,orchard swallow
yellow swallow tail\012.jpg,yellow swallow tail
paper kite\055.jpg,paper kite
indra swallow\084.jpg,indra swallow
orange oakleaf\029.jpg,orange oakleaf
julia\065.jpg,julia
two barred flasher\040.jpg,two barred flasher
orange tip\072.jpg,orange tip
beckers white\055.jpg,beckers white
peacock\040.jpg,peacock
banded peacock\066.jpg,banded peacock
grey hairstreak\080.jpg,grey hairstreak
orange tip\060.jpg,orange tip
great eggfly\015.jpg,great eggfly
wood satyr\045.jpg,wood satyr
malachite\081.jpg,malachite
sixspot burnet\066.jpg,sixspot burnet
eastern coma\071.jpg,eastern coma
two barred flasher\022.jpg,two barred flasher
wood satyr\089.jpg,wood satyr
paper kite\063.jpg,paper kite
purple hairstreak\053.jpg,purple hairstreak
adonis\011.jpg,adonis
banded peacock\039.jpg,banded peacock
mangrove skipper\053.jpg,mangrove skipper
scarce swallow\027.jpg,scarce swallow
chestnut\062.jpg,chestnut
painted lady\011.jpg,painted lady
eastern coma\042.jpg,eastern coma
wood satyr\071.jpg,wood satyr
scarce swallow\045.jpg,scarce swallow
copper tail\107.jpg,copper tail
skipper\088.jpg,skipper
pipevine swallow\030.jpg,pipevine swallow
malachite\090.jpg,malachite
ulyses\040.jpg,ulyses
great eggfly\073.jpg,great eggfly
great eggfly\093.jpg,great eggfly
clodius parnassian\063.jpg,clodius parnassian
crecent\007.jpg,crecent
indra swallow\051.jpg,indra swallow
crimson patch\040.jpg,crimson patch
banded peacock\051.jpg,banded peacock
monarch\071.jpg,monarch
two barred flasher\059.jpg,two barred flasher
scarce swallow\059.jpg,scarce swallow
mangrove skipper\002.jpg,mangrove skipper
monarch\063.jpg,monarch
peacock\061.jpg,peacock
pine white\027.jpg,pine white
yellow swallow tail\033.jpg,yellow swallow tail
monarch\033.jpg,monarch
viceroy\018.jpg,viceroy
chestnut\065.jpg,chestnut
pipevine swallow\043.jpg,pipevine swallow
adonis\078.jpg,adonis
adonis\008.jpg,adonis
peacock\029.jpg,peacock
red admiral\066.jpg,red admiral
scarce swallow\071.jpg,scarce swallow
wood satyr\031.jpg,wood satyr
adonis\022.jpg,adonis
grey hairstreak\060.jpg,grey hairstreak
copper tail\073.jpg,copper tail
adonis\042.jpg,adonis
scarce swallow\091.jpg,scarce swallow
indra swallow\079.jpg,indra swallow
gold banded\004.jpg,gold banded
yellow swallow tail\091.jpg,yellow swallow tail
gold banded\013.jpg,gold banded
straited queen\086.jpg,straited queen
american snoot\010.jpg,american snoot
pine white\035.jpg,pine white
black hairstreak\008.jpg,black hairstreak
sixspot burnet\090.jpg,sixspot burnet
red spotted purple\051.jpg,red spotted purple
banded peacock\077.jpg,banded peacock
red admiral\040.jpg,red admiral
clouded sulphur\005.jpg,clouded sulphur
paper kite\045.jpg,paper kite
skipper\025.jpg,skipper
crimson patch\079.jpg,crimson patch
clouded sulphur\066.jpg,clouded sulphur
gold banded\089.jpg,gold banded
southern dogface\025.jpg,southern dogface
two barred flasher\037.jpg,two barred flasher
paper kite\069.jpg,paper kite
indra swallow\091.jpg,indra swallow
pipevine swallow\047.jpg,pipevine swallow
wood satyr\054.jpg,wood satyr
zebra long wing\037.jpg,zebra long wing
pine white\029.jpg,pine white
sixspot burnet\080.jpg,sixspot burnet
zebra long wing\055.jpg,zebra long wing
orange tip\045.jpg,orange tip
mangrove skipper\076.jpg,mangrove skipper
gold banded\070.jpg,gold banded
red spotted purple\044.jpg,red spotted purple
painted lady\075.jpg,painted lady
chestnut\003.jpg,chestnut
silver spot skipper\062.jpg,silver spot skipper
paper kite\050.jpg,paper kite
an 88\003.jpg,an 88
scarce swallow\086.jpg,scarce swallow
zebra long wing\030.jpg,zebra long wing
sixspot burnet\013.jpg,sixspot burnet
large marble\016.jpg,large marble
skipper\089.jpg,skipper
great eggfly\004.jpg,great eggfly
malachite\011.jpg,malachite
scarce swallow\060.jpg,scarce swallow
great eggfly\001.jpg,great eggfly
painted lady\035.jpg,painted lady
eastern coma\085.jpg,eastern coma
great eggfly\018.jpg,great eggfly
scarce swallow\079.jpg,scarce swallow
copper tail\047.jpg,copper tail
copper tail\104.jpg,copper tail
great eggfly\068.jpg,great eggfly
beckers white\016.jpg,beckers white
indra swallow\031.jpg,indra swallow
silver spot skipper\026.jpg,silver spot skipper
orange tip\038.jpg,orange tip
question mark\013.jpg,question mark
great eggfly\034.jpg,great eggfly
eastern coma\015.jpg,eastern coma
peacock\069.jpg,peacock
adonis\034.jpg,adonis
indra swallow\099.jpg,indra swallow
american snoot\093.jpg,american snoot
southern dogface\083.jpg,southern dogface
julia\094.jpg,julia
mangrove skipper\037.jpg,mangrove skipper
crimson patch\043.jpg,crimson patch
banded peacock\020.jpg,banded peacock
indra swallow\026.jpg,indra swallow
southern dogface\040.jpg,southern dogface
two barred flasher\004.jpg,two barred flasher
yellow swallow tail\048.jpg,yellow swallow tail
copper tail\044.jpg,copper tail
silver spot skipper\007.jpg,silver spot skipper
painted lady\096.jpg,painted lady
cabbage white\008.jpg,cabbage white
straited queen\018.jpg,straited queen
orchard swallow\042.jpg,orchard swallow
eastern coma\076.jpg,eastern coma
scarce swallow\119.jpg,scarce swallow
gold banded\055.jpg,gold banded
red spotted purple\000.jpg,red spotted purple
grey hairstreak\012.jpg,grey hairstreak
clouded sulphur\019.jpg,clouded sulphur
monarch\019.jpg,monarch
great eggfly\096.jpg,great eggfly
indra swallow\064.jpg,indra swallow
painted lady\071.jpg,painted lady
orange oakleaf\077.jpg,orange oakleaf
beckers white\003.jpg,beckers white
painted lady\042.jpg,painted lady
grey hairstreak\051.jpg,grey hairstreak
pine white\079.jpg,pine white
julia\012.jpg,julia
painted lady\052.jpg,painted lady
southern dogface\042.jpg,southern dogface
orange oakleaf\076.jpg,orange oakleaf
orchard swallow\028.jpg,orchard swallow
gold banded\020.jpg,gold banded
mangrove skipper\014.jpg,mangrove skipper
ulyses\041.jpg,ulyses
orange tip\063.jpg,orange tip
ulyses\019.jpg,ulyses
pine white\058.jpg,pine white
malachite\083.jpg,malachite
clouded sulphur\002.jpg,clouded sulphur
viceroy\051.jpg,viceroy
silver spot skipper\074.jpg,silver spot skipper
cabbage white\052.jpg,cabbage white
orange oakleaf\036.jpg,orange oakleaf
orange oakleaf\005.jpg,orange oakleaf
american snoot\015.jpg,american snoot
scarce swallow\038.jpg,scarce swallow
red admiral\011.jpg,red admiral
ulyses\036.jpg,ulyses
large marble\004.jpg,large marble
clodius parnassian\038.jpg,clodius parnassian
malachite\022.jpg,malachite
pine white\043.jpg,pine white
grey hairstreak\005.jpg,grey hairstreak
american snoot\018.jpg,american snoot
great eggfly\028.jpg,great eggfly
an 88\009.jpg,an 88
skipper\116.jpg,skipper
clodius parnassian\026.jpg,clodius parnassian
purple hairstreak\012.jpg,purple hairstreak
yellow swallow tail\076.jpg,yellow swallow tail
sootywing\070.jpg,sootywing
silver spot skipper\002.jpg,silver spot skipper
grey hairstreak\074.jpg,grey hairstreak
peacock\017.jpg,peacock
black hairstreak\040.jpg,black hairstreak
orchard swallow\070.jpg,orchard swallow
black hairstreak\019.jpg,black hairstreak
monarch\065.jpg,monarch
indra swallow\005.jpg,indra swallow
great eggfly\057.jpg,great eggfly
beckers white\052.jpg,beckers white
orchard swallow\014.jpg,orchard swallow
purple hairstreak\013.jpg,purple hairstreak
straited queen\062.jpg,straited queen
gold banded\002.jpg,gold banded
large marble\024.jpg,large marble
two barred flasher\073.jpg,two barred flasher
banded peacock\041.jpg,banded peacock
american snoot\066.jpg,american snoot
straited queen\077.jpg,straited queen
chestnut\069.jpg,chestnut
zebra long wing\049.jpg,zebra long wing
black hairstreak\001.jpg,black hairstreak
question mark\065.jpg,question mark
large marble\015.jpg,large marble
skipper\049.jpg,skipper
sixspot burnet\040.jpg,sixspot burnet
morning cloak\072.jpg,morning cloak
orange tip\013.jpg,orange tip
copper tail\029.jpg,copper tail
ulyses\024.jpg,ulyses
indra swallow\096.jpg,indra swallow
crimson patch\076.jpg,crimson patch
cabbage white\018.jpg,cabbage white
an 88\071.jpg,an 88
banded peacock\038.jpg,banded peacock
straited queen\071.jpg,straited queen
pipevine swallow\022.jpg,pipevine swallow
eastern coma\061.jpg,eastern coma
paper kite\027.jpg,paper kite
large marble\063.jpg,large marble
great eggfly\072.jpg,great eggfly
orange tip\040.jpg,orange tip
great eggfly\074.jpg,great eggfly
an 88\023.jpg,an 88
pipevine swallow\015.jpg,pipevine swallow
sixspot burnet\088.jpg,sixspot burnet
question mark\088.jpg,question mark
zebra long wing\092.jpg,zebra long wing
silver spot skipper\057.jpg,silver spot skipper
question mark\076.jpg,question mark
scarce swallow\114.jpg,scarce swallow
skipper\033.jpg,skipper
copper tail\018.jpg,copper tail
crimson patch\091.jpg,crimson patch
scarce swallow\113.jpg,scarce swallow
black hairstreak\035.jpg,black hairstreak
mangrove skipper\008.jpg,mangrove skipper
cabbage white\033.jpg,cabbage white
copper tail\012.jpg,copper tail
silver spot skipper\034.jpg,silver spot skipper
great eggfly\038.jpg,great eggfly
peacock\032.jpg,peacock
sootywing\057.jpg,sootywing
zebra long wing\022.jpg,zebra long wing
adonis\039.jpg,adonis
zebra long wing\001.jpg,zebra long wing
morning cloak\066.jpg,morning cloak
painted lady\093.jpg,painted lady
skipper\064.jpg,skipper
eastern coma\012.jpg,eastern coma
gold banded\059.jpg,gold banded
paper kite\074.jpg,paper kite
grey hairstreak\069.jpg,grey hairstreak
pine white\062.jpg,pine white
banded peacock\016.jpg,banded peacock
malachite\005.jpg,malachite
clouded sulphur\070.jpg,clouded sulphur
adonis\080.jpg,adonis
large marble\041.jpg,large marble
skipper\122.jpg,skipper
peacock\075.jpg,peacock
peacock\031.jpg,peacock
beckers white\090.jpg,beckers white
julia\027.jpg,julia
pine white\007.jpg,pine white
indra swallow\044.jpg,indra swallow
crecent\042.jpg,crecent
morning cloak\050.jpg,morning cloak
copper tail\111.jpg,copper tail
malachite\064.jpg,malachite
indra swallow\034.jpg,indra swallow
gold banded\027.jpg,gold banded
question mark\006.jpg,question mark
straited queen\009.jpg,straited queen
morning cloak\073.jpg,morning cloak
skipper\032.jpg,skipper
question mark\015.jpg,question mark
viceroy\029.jpg,viceroy
southern dogface\035.jpg,southern dogface
two barred flasher\051.jpg,two barred flasher
skipper\078.jpg,skipper
adonis\017.jpg,adonis
peacock\020.jpg,peacock
painted lady\024.jpg,painted lady
copper tail\021.jpg,copper tail
ulyses\029.jpg,ulyses
pipevine swallow\037.jpg,pipevine swallow
clodius parnassian\030.jpg,clodius parnassian
american snoot\079.jpg,american snoot
viceroy\010.jpg,viceroy
question mark\056.jpg,question mark
crimson patch\065.jpg,crimson patch
scarce swallow\028.jpg,scarce swallow
peacock\063.jpg,peacock
red spotted purple\007.jpg,red spotted purple
banded peacock\076.jpg,banded peacock
two barred flasher\038.jpg,two barred flasher
malachite\008.jpg,malachite
question mark\014.jpg,question mark
clouded sulphur\043.jpg,clouded sulphur
an 88\029.jpg,an 88
gold banded\090.jpg,gold banded
cabbage white\005.jpg,cabbage white
great eggfly\042.jpg,great eggfly
southern dogface\061.jpg,southern dogface
black hairstreak\012.jpg,black hairstreak
crecent\031.jpg,crecent
large marble\007.jpg,large marble
metalmark\019.jpg,metalmark
orange tip\033.jpg,orange tip
clodius parnassian\065.jpg,clodius parnassian
yellow swallow tail\044.jpg,yellow swallow tail
indra swallow\010.jpg,indra swallow
purple hairstreak\028.jpg,purple hairstreak
julia\059.jpg,julia
metalmark\061.jpg,metalmark
purple hairstreak\089.jpg,purple hairstreak
paper kite\009.jpg,paper kite
beckers white\033.jpg,beckers white
viceroy\064.jpg,viceroy
clodius parnassian\055.jpg,clodius parnassian
yellow swallow tail\042.jpg,yellow swallow tail
banded peacock\044.jpg,banded peacock
sootywing\065.jpg,sootywing
julia\007.jpg,julia
sootywing\084.jpg,sootywing
skipper\000.jpg,skipper
sootywing\099.jpg,sootywing
beckers white\078.jpg,beckers white
sootywing\022.jpg,sootywing
malachite\038.jpg,malachite
american snoot\037.jpg,american snoot
sootywing\042.jpg,sootywing
gold banded\029.jpg,gold banded
skipper\016.jpg,skipper
eastern coma\069.jpg,eastern coma
